platform,nama_produk,lokasi,harga
Facebook Marketplace,Rp 25.000.000Rp 45.000.000 2026 ISUZU TRAGA PICKUP ANGSURAN 7 JTan bunga murah asuransi alrisk kombinasi Manado,Manado,
Facebook Marketplace,Rumah Kharisma Koka Teling Manado,Manado,Rp 290.000.000
Facebook Marketplace,2 Beds 1 Bath - House Manado,Manado,Rp 25.000.000
Facebook Marketplace,Baru terdaftar Laptop HP warna Putih 14inch RAM 8GB Manado,Manado,Rp 1
Facebook Marketplace,Polytron PMA 9523 Manado,Manado,Rp 500
Facebook Marketplace,Toyota Calya 2017 Manado,Manado,Rp 123
Facebook Marketplace,2016 Datsun GO Manado,Manado,Rp 25.000.000
Facebook Marketplace,Rp 95.123.459Rp 100.123.456 1980 Volkswagen combi Manado,Manado,
Facebook Marketplace,ipad gen 11 128gb Manado,Manado,Rp 6.000.000
Facebook Marketplace,1990 Honda Civic,"Airmadidi, Sulawesi Utara, Indonesia",Rp 48.000.000
Facebook Marketplace,Rp 4.000.000Rp 5.000.000 2026 Daihatsu GranMax 1.5,"Tondano, Sulawesi Utara, Indonesia",
Facebook Marketplace,Baru terdaftar AMPLI CORT CM20B Manado,Manado,Rp 14
Facebook Marketplace,Rp 14.999.999Rp 26.000.000 2026 Daihatsu GranMax 1.5,"Tondano, Sulawesi Utara, Indonesia",
Facebook Marketplace,2026 SUNWARD swe80e9 Manado,Manado,Rp 70.000.000
Facebook Marketplace,COD) (FREE ONGKIR) PROMO SOFA RETRO MINIMALIS TERMURAH MANADO Manado,Manado,Rp 1
Facebook Marketplace,Jual seng bekas for atap Manado,Manado,Rp 35.000
Facebook Marketplace,Honda Stylo ABS 2024 Manado,Manado,Rp 0
Facebook Marketplace,"kemeja uk XL, byr jo smua 50rb","Tateli, Sulawesi Utara, Indonesia",Rp 50.000
Facebook Marketplace,2020 Honda Jazz,"Kawangkoan, Sulawesi Utara, Indonesia",Rp 25.000.000
Facebook Marketplace,Kompresor Manado,Manado,Rp 111
Facebook Marketplace,Mode Wifi Huawei Manado,Manado,Rp 1.100.000
Facebook Marketplace,Audio Manado,Manado,Rp 120.000
Facebook Marketplace,Js guitar nova2 likenew fullset dos dari toko Manado,Manado,Rp 4.850.000
Facebook Marketplace,Rp 7.500.000Rp 9.500.000 Piano/keyboard elektrik Manado,Manado,
Facebook Marketplace,Spiker Tiang Aktif aktif 450wat x2 Manado,Manado,Rp 6.800.000
Facebook Marketplace,Rp 111.111Rp 4.500.000 LCD Proyektor Epson Murah Manado,Manado,
Facebook Marketplace,Iphone 16 promax Manado,Manado,Rp 123.456.789
Facebook Marketplace,Baru terdaftar BLOUSE CROP Manado,Manado,Rp 85.000
Facebook Marketplace,SHOWCASE Manado,Manado,Rp 123.456
Facebook Marketplace,1997 Nissan Terra Manado,Manado,Rp 25.000.000
Facebook Marketplace,Baru terdaftar 2012 Ninja 2T,Manado,Rp 7
Facebook Marketplace,Kebun so ada telaga Manado,Manado,Rp 170.000.000
Facebook Marketplace,Baru terdaftar Kabel Manado,Manado,Rp 750
Facebook Marketplace,Baru terdaftar Paketan Parled + Stand Kota Tomohon,Manado,Rp 123
Facebook Marketplace,blower api Manado,Manado,Rp 225
Facebook Marketplace,Printer Manado,Manado,Rp 350.000
Facebook Marketplace,Jersey peemium world cup 2026 MDC Manado,Manado,Rp 85.000
Facebook Marketplace,"Predator bogel 500 cc pemakaian 1bulan, jual samua sesuai foto","Ratahan, Sulawesi Utara, Indonesia",Rp 123.456
Facebook Marketplace,Prokick subwoofer kolong Manado,Manado,Rp 1
Facebook Marketplace,Baru terdaftar Velg CP035 RING 15 Kota Tomohon,Manado,Rp 3.750.000
Facebook Marketplace,Jersey Argentina,"Amurang, Sulawesi Utara, Indonesia",Rp 300.000
Facebook Marketplace,Gitar Yamaha... Manado,Manado,Rp 300.000
Facebook Marketplace,2014 Yamaha Byson Manado,Manado,Rp 3.000.000
Facebook Marketplace,PC GAMING DAN EDITING FULLSET PEMAKAIAN BARU 4 BULAN Kota Tomohon,Manado,Rp 15
Facebook Marketplace,2013 Toyota RUSH 1.5 S MT 2013,"Kakas, Sulawesi Utara, Indonesia",Rp 15.850.000
Facebook Marketplace,1997 Daihatsu Feroza 97 Manado,Manado,Rp 45.000.000
Facebook Marketplace,2016 Kawasaki Ninja Manado,Manado,Rp 28.000.000
Facebook Marketplace,Gitar bass listrik,"Bitung, Sulawesi Utara, Indonesia",Rp 2.000.000
Facebook Marketplace,2 Beds 1 Bath - House Manado,Manado,Rp 25.000.000
Facebook Marketplace,Baru terdaftar Blender Silent Getra Manado,Manado,Rp 1.200.000
Facebook Marketplace,Baru terdaftar Laptop Acer Aspire 314-36p Manado,Manado,Rp 3.500.000
Facebook Marketplace,Baru terdaftar Cars type C 45watt ORI bwhan hp cpt sx ba isi Manado,Manado,Rp 100
Facebook Marketplace,Lemari Piring Alumunium,"Wori, Sulawesi Utara, Indonesia",Rp 800.000
Facebook Marketplace,mesin press,"Bitung, Sulawesi Utara, Indonesia",Rp 1.345.678
Facebook Marketplace,Kulkas 1 pintu merek aqua Bekas Mulus Dingin Normal Manado,Manado,Rp 150.000
Facebook Marketplace,Baru terdaftar aerox new 2022 stnk only Manado,Manado,Rp 1.243.546
Facebook Marketplace,2013 Toyota Hilux,"Langowan, Sulawesi Utara, Indonesia",Rp 22.000.000
Facebook Marketplace,Transistor 20 set Manado,Manado,Rp 0
Facebook Marketplace,Set stelan Manado,Manado,Rp 100
Facebook Marketplace,2020 Daihatsu Sirion Tipe Tertinggi Manado,Manado,Rp 17.000.000
Facebook Marketplace,Capung 702 batik,Manado,Rp 550
Facebook Marketplace,Menerima Pesanan ✅ Sesuai Permintaan Model & Ukuran. * Rumah Tinggal * Gazebo * Tempat Santai * Vil Kota Tomohon,Manado,Rp 123
Facebook Marketplace,Baru terdaftar Printer Manado,Manado,Rp 500.000
Facebook Marketplace,Amplifier TOA ZA-1025 Manado,Manado,Rp 450.000
Facebook Marketplace,2018 Honda Civic Manado,Manado,Rp 35.000.000
Facebook Marketplace,Printer Manado,Manado,Rp 1.100.000
Facebook Marketplace,Yamaha F310P Manado,Manado,Rp 111.111.111
Facebook Marketplace,PC ONLY,"Remboken, Sulawesi Utara, Indonesia",Rp 4.500.000
Facebook Marketplace,1995 Kijang grand Mini bus Manado,Manado,Rp 123.456.789
Facebook Marketplace,Spiker pasif 8 inch Manado,Manado,Rp 200
